year,price,transmission,mileage,tax,mpg,engineSize,Make
2018,18000.0,0,37085.0,145,56.5,2.0,3
2019,14250.0,2,7547.0,145,48.7,1.0,3
2016,9495.0,0,35265.0,0,83.1,1.4,1
2018,17695.0,1,15100.0,140,65.6,1.8,2
2016,14298.0,0,22265.0,20,70.6,1.5,0
2017,7481.0,0,20053.0,150,68.9,1.0,2
2013,6766.0,1,12508.0,145,47.1,1.4,4
2017,16990.0,2,8129.0,145,56.5,1.5,5
2019,22998.0,2,3135.0,145,39.2,1.5,1
2017,12798.0,0,16703.0,145,57.7,1.0,3
2014,9989.0,2,34400.0,145,47.1,1.6,2
2016,7990.0,0,42000.0,30,57.7,1.2,6
2017,20250.0,2,31150.0,145,56.5,1.5,5
2017,15690.0,0,35657.0,30,61.4,1.6,1
2016,9899.0,0,48675.0,0,74.3,1.6,1
2019,9495.0,0,9278.0,145,57.7,1.0,6
2017,11995.0,0,9561.0,20,72.4,1.6,1
2019,13980.0,0,42700.0,145,65.7,2.0,6
2018,15790.0,0,12652.0,145,55.4,1.6,1
2017,19495.0,0,8866.0,145,41.5,2.0,3
2016,7298.0,0,31107.0,125,54.3,1.2,3
2015,10995.0,0,31483.0,30,53.3,1.4,1
2017,13495.0,2,23470.0,150,51.4,1.2,6
2017,35464.0,2,28338.0,145,56.5,3.0,0
2019,10700.0,0,9950.0,145,61.4,1.0,6
2018,19995.0,2,4549.0,145,62.8,2.0,6
2019,29490.0,0,10.0,145,39.2,2.0,5
2016,9998.0,0,26399.0,0,74.3,1.5,3
2017,10950.0,0,31079.0,0,74.3,1.5,3
2019,16995.0,0,7091.0,150,51.4,1.0,1
2016,13990.0,0,25600.0,30,55.4,1.4,5
2018,7300.0,0,20245.0,145,57.7,1.2,3
2013,9991.0,0,55600.0,20,68.9,2.0,5
2015,6490.0,0,36100.0,30,58.0,1.3,2
2018,39995.0,2,6120.0,150,29.1,3.0,0
2016,17640.0,2,28590.0,145,56.5,3.0,0
2018,17298.0,1,13474.0,135,78.5,1.6,4
2014,11995.0,1,7881.0,0,76.3,1.5,2
2018,10497.0,0,14455.0,145,64.2,1.1,3
2019,18695.0,1,8245.0,135,78.5,1.6,4
2016,16170.0,0,45973.0,125,56.5,2.0,3
2017,14995.0,0,24784.0,20,67.3,2.0,1
2019,23995.0,2,16673.0,145,44.8,2.0,1
2017,16790.0,0,15468.0,145,46.3,2.0,0
2017,10998.0,0,7350.0,150,56.5,1.5,2
2019,16995.0,0,6250.0,145,44.1,1.0,4
2015,8495.0,0,24800.0,20,60.1,1.0,1
2016,6997.0,0,52667.0,0,66.0,1.0,2
2017,21490.0,1,21085.0,145,44.8,1.4,6
2019,26995.0,0,6034.0,145,42.8,2.0,5
2016,12795.0,0,40766.0,30,61.7,1.7,4
2014,9387.0,1,47511.0,0,80.7,1.5,2
2018,14672.0,0,13398.0,145,49.6,1.0,1
2019,17349.0,2,1446.0,145,46.3,1.0,1
2016,14995.0,2,12662.0,125,50.4,2.0,0
2017,12995.0,2,28168.0,0,65.7,1.0,1
2016,7495.0,0,6044.0,20,62.8,1.0,6
2011,7250.0,0,112000.0,0,70.6,1.8,2
2017,14498.0,2,5377.0,150,51.4,1.2,6
2019,19490.0,2,6594.0,145,39.8,2.0,1
2018,9298.0,0,9861.0,145,57.7,1.0,6
2019,28990.0,2,7322.0,145,52.3,2.0,0
2016,7250.0,0,35791.0,0,65.7,1.0,3
2018,12495.0,0,12810.0,145,56.5,1.0,3
2019,14295.0,0,4115.0,145,48.7,1.0,6
2019,24995.0,0,5589.0,145,34.0,2.0,4
2018,21998.0,2,15600.0,145,65.7,2.0,0
2012,4250.0,0,61000.0,125,49.6,1.2,6
2019,24016.0,1,4349.0,145,60.1,2.0,0
2017,11289.0,0,7591.0,20,60.1,1.2,1
2014,10399.0,0,34452.0,125,52.3,1.4,5
2014,8995.0,2,66179.0,30,62.8,2.0,1
2016,14450.0,2,11349.0,30,57.6,1.4,5
2014,9720.0,0,62871.0,20,60.1,1.4,5
2019,49999.0,2,5681.0,145,37.7,3.0,0
2013,9999.0,0,55425.0,200,47.9,2.0,3
2017,10000.0,1,25426.0,150,57.7,1.0,3
2018,12500.0,0,24499.0,145,62.8,1.0,1
2019,29890.0,1,5211.0,145,52.3,2.0,0
2018,22289.0,2,14290.0,145,35.8,1.6,4
2017,8099.0,0,19394.0,145,65.7,1.0,2
2017,6498.0,0,42057.0,145,70.6,1.0,4
2016,16995.0,1,31432.0,0,94.1,1.8,2
2019,28495.0,2,6249.0,145,31.4,2.0,1
2018,19199.0,0,10611.0,145,41.5,2.0,3
2019,11950.0,0,48.0,145,47.9,1.2,3
2019,29950.0,2,3484.0,145,51.4,2.0,5
2020,29990.0,2,10.0,145,50.4,2.0,0
2017,15298.0,0,16480.0,20,67.3,2.0,3
2016,11100.0,0,36817.0,30,62.8,2.0,6
2017,8752.0,0,15261.0,145,62.8,1.0,6
2011,5500.0,1,30000.0,20,58.9,1.0,2
2019,16490.0,2,5010.0,145,55.4,1.5,6
2019,28950.0,2,4764.0,145,36.2,2.0,1
2016,10000.0,2,36918.0,20,60.1,1.2,1
2013,13999.0,1,48828.0,235,37.7,3.0,0
2019,29499.0,1,11467.0,150,32.8,2.0,1
2018,16998.0,0,4302.0,145,40.9,1.5,0
2019,18695.0,1,9562.0,135,78.5,1.6,4
2019,12390.0,0,4000.0,145,58.9,1.0,3
2013,10962.0,0,57062.0,125,57.6,2.0,5
2018,18450.0,1,5504.0,145,54.3,1.0,6
2010,3695.0,0,57440.0,125,50.4,1.2,3
2019,34995.0,1,10.0,145,45.6,2.0,0
2016,7220.0,0,50211.0,0,88.3,1.5,3
2019,14491.0,0,11325.0,145,58.9,1.0,3
2017,17998.0,0,28177.0,150,54.3,2.0,3
2016,8120.0,0,29867.0,0,65.7,1.0,3
2013,3995.0,0,103100.0,30,54.3,1.2,3
2018,15995.0,0,19758.0,145,52.3,1.0,4
2016,16600.0,0,35359.0,145,53.3,2.0,5
2017,20300.0,1,42908.0,145,51.4,2.0,5
2016,6373.0,0,11510.0,20,62.8,1.0,6
2018,7495.0,0,6166.0,145,57.7,1.0,6
2019,17500.0,1,11211.0,145,48.7,1.0,3
2017,7290.0,0,33269.0,20,64.2,1.0,1
2017,12500.0,0,26600.0,0,67.3,1.0,5
2018,21799.0,1,19536.0,135,74.3,1.8,2
2019,19936.0,1,8000.0,135,78.5,1.6,4
2016,12000.0,2,12963.0,125,51.4,1.2,6
2017,8500.0,1,3620.0,145,67.0,1.0,2
2020,25999.0,0,6000.0,150,34.0,2.0,4
2016,11250.0,2,27627.0,20,67.3,1.6,1
2016,13949.0,1,70976.0,30,65.7,2.0,0
2019,15199.0,0,7124.0,145,55.4,1.0,3
2019,19450.0,0,4410.0,145,62.8,2.0,1
2017,10499.0,0,24361.0,20,60.1,1.2,1
2017,18058.0,1,28458.0,145,57.7,2.0,1
2017,10999.0,0,25331.0,145,60.1,1.0,3
2017,11850.0,0,32013.0,0,74.3,1.6,1
2017,12698.0,2,18877.0,150,51.4,1.2,6
2017,10500.0,0,15244.0,145,65.7,1.0,3
2016,15800.0,2,38295.0,160,49.6,2.0,1
2017,7490.0,0,23253.0,150,57.7,1.2,3
2016,6490.0,0,64384.0,0,78.5,1.5,3
2018,8498.0,0,10498.0,145,68.9,1.0,2
2017,7800.0,0,3194.0,150,57.7,1.2,3
2019,24450.0,0,100.0,145,52.3,2.0,1
2016,10491.0,0,25082.0,20,60.1,1.2,1
2019,22490.0,0,3200.0,145,42.2,1.5,5
2017,10200.0,0,22781.0,145,60.1,1.2,1
2015,9495.0,0,25391.0,0,68.9,1.6,1
2018,15295.0,0,16662.0,145,34.9,1.6,4
2017,16770.0,2,9992.0,145,54.3,2.0,3
2017,9698.0,0,27111.0,145,74.3,1.4,1
2016,11250.0,0,35447.0,20,68.9,2.0,0
2017,11498.0,0,40850.0,145,74.3,1.5,3
2019,14995.0,0,1200.0,145,58.9,1.0,3
2019,22250.0,1,10932.0,135,78.5,1.8,2
2017,11499.0,0,23187.0,145,60.1,1.0,3
2019,14170.0,0,1505.0,145,60.1,1.0,6
2019,24474.0,2,9044.0,145,40.9,1.5,0
2015,9450.0,0,62500.0,0,80.7,1.6,5
2017,10990.0,0,10687.0,20,58.9,1.0,1
2019,14995.0,0,7800.0,145,53.3,1.0,3
2017,17999.0,0,25150.0,145,64.2,2.0,1
2019,24999.0,1,6000.0,145,49.6,2.0,1
2019,21374.0,0,7188.0,145,51.4,1.6,5
2016,29994.0,0,30414.0,235,42.8,2.0,1
2016,15290.0,0,23649.0,20,55.4,2.0,1
2017,9798.0,0,17593.0,125,52.3,1.0,3
2016,11300.0,2,18503.0,160,44.8,1.6,3
2017,14995.0,0,14488.0,150,60.1,1.4,5
2016,8225.0,0,28850.0,0,65.7,1.0,3
2016,10600.0,0,21428.0,0,67.3,1.0,5
2018,17490.0,2,13133.0,145,36.2,1.6,4
2018,17695.0,0,15519.0,150,52.3,1.0,6
2017,16400.0,1,24852.0,150,65.7,2.0,0
2019,28500.0,0,5500.0,145,42.8,2.0,5
2015,10395.0,0,63980.0,20,74.3,1.5,0
2019,19298.0,1,5689.0,145,50.4,1.5,3
2015,11495.0,0,29200.0,145,54.3,2.0,3
2019,20155.0,0,11145.0,145,51.4,1.6,1
2015,12099.0,0,31321.0,30,64.2,2.0,0
2017,12690.0,1,30183.0,0,78.0,1.5,2
2018,13289.0,0,22058.0,145,57.7,1.0,3
2019,26950.0,2,7022.0,145,38.7,2.0,1
2018,9791.0,0,16922.0,145,65.7,1.0,3
2017,10170.0,0,16092.0,145,65.7,1.0,3
2015,11309.0,1,64797.0,0,74.3,2.0,0
2019,32220.0,1,6847.0,145,36.2,2.0,1
2018,8371.0,0,35066.0,145,64.2,1.0,6
2015,13998.0,0,61410.0,30,62.8,2.0,5
2013,6475.0,0,75000.0,20,68.9,1.6,5
2016,16495.0,2,47077.0,235,42.8,2.2,4
2017,10495.0,0,34213.0,150,64.2,1.0,6
2018,11795.0,0,3275.0,145,61.4,1.0,6
2016,17498.0,2,29823.0,160,51.4,3.0,0
2018,13995.0,0,7000.0,145,58.9,1.0,3
2013,12698.0,0,41442.0,125,53.3,1.4,5
2017,22710.0,2,27695.0,125,57.6,2.0,1
2016,11127.0,0,22292.0,145,47.9,1.6,3
2017,11000.0,0,10300.0,150,55.4,1.0,3
2018,17195.0,1,17534.0,135,78.5,1.6,4
2017,10489.0,0,26445.0,20,68.9,1.5,3
2019,32880.0,1,5000.0,145,41.5,3.0,0
2019,27399.0,0,2415.0,145,40.9,1.5,5
2016,13990.0,1,37000.0,30,62.8,2.0,0
2018,12495.0,1,8835.0,145,61.4,1.0,6
2019,27490.0,0,3500.0,145,40.9,1.5,5
2013,20990.0,1,81000.0,200,45.6,3.0,0
2018,8511.0,0,3197.0,145,48.7,1.2,3
2017,11990.0,0,10594.0,145,54.3,1.0,3
2019,19806.0,0,6771.0,145,49.6,1.6,5
2019,22995.0,0,50.0,145,34.9,1.6,4
2016,18491.0,0,17992.0,150,48.7,1.4,1
2017,7995.0,0,15814.0,20,64.2,1.0,1
2019,25000.0,1,4491.0,145,33.2,2.0,6
2016,8399.0,0,19999.0,125,50.4,1.4,4
2019,35900.0,2,2369.0,150,38.2,2.0,5
2017,19425.0,2,24994.0,30,57.6,1.4,5
2018,16500.0,1,26973.0,145,54.3,2.0,3
2018,10999.0,0,24608.0,145,65.7,1.0,3
2020,37995.0,2,1501.0,145,58.9,2.0,0
2018,18700.0,0,20506.0,145,53.3,1.0,6
2019,24390.0,1,7295.0,145,40.4,2.0,1
2015,12391.0,0,39362.0,20,68.9,2.0,5
2015,6998.0,0,30518.0,125,54.3,1.2,3
2019,16199.0,0,6321.0,145,60.1,1.0,3
2015,14495.0,2,31580.0,125,60.1,2.0,6
2019,28490.0,0,2688.0,145,42.8,2.0,5
2018,10995.0,0,3100.0,145,58.9,1.5,2
2019,20495.0,1,4243.0,135,78.5,1.6,4
2018,9790.0,0,8116.0,145,48.7,1.0,2
2016,14990.0,1,21656.0,200,47.1,2.0,4
2017,12999.0,0,22919.0,20,61.4,1.6,1
2017,9000.0,0,17109.0,30,58.0,1.3,2
2017,8298.0,0,29855.0,30,58.0,1.3,2
2019,26495.0,2,15511.0,145,38.2,2.0,5
2016,19490.0,2,34452.0,160,49.6,2.0,1
2019,31980.0,2,9305.0,150,54.3,2.0,0
2019,11995.0,0,7282.0,145,47.9,1.5,2
2018,16000.0,2,15255.0,145,54.3,2.0,3
2013,8298.0,1,54473.0,0,80.7,1.5,2
2014,11490.0,1,33000.0,0,76.4,1.8,2
2017,17500.0,1,20103.0,145,70.6,2.0,5
2018,12995.0,0,22310.0,145,60.1,1.0,1
2015,8350.0,1,18403.0,160,44.8,1.6,3
2019,20100.0,0,5901.0,145,52.3,1.6,5
2019,41000.0,1,3500.0,145,34.0,3.0,1
2018,34999.0,2,16850.0,150,50.4,3.0,5
2017,14300.0,0,21323.0,145,52.3,1.5,0
2016,11259.0,0,84523.0,20,67.3,2.0,5
2015,9600.0,0,52990.0,125,60.1,2.0,3
2015,14990.0,0,50000.0,300,34.9,2.0,1
2017,38015.0,0,197.0,145,74.3,1.5,3
2017,13495.0,0,14685.0,125,51.4,1.2,6
2016,14500.0,0,23549.0,30,61.4,2.0,5
2014,13441.0,0,38000.0,30,61.4,2.0,0
2019,33450.0,1,2425.0,145,32.5,2.0,1
2019,23491.0,2,5012.0,150,46.3,2.0,1
2016,13998.0,0,24895.0,20,67.3,2.0,3
2014,5995.0,0,90000.0,30,61.4,1.6,6
2019,26394.0,0,13000.0,260,40.4,2.4,2
2017,21250.0,2,17961.0,165,44.8,2.0,0
2018,12000.0,0,11444.0,150,62.8,1.0,3
2019,18369.0,0,4410.0,145,65.7,2.0,0
2018,13498.0,0,6922.0,145,44.1,1.0,4
2018,11250.0,0,9245.0,145,47.1,1.5,2
2013,2470.0,0,66000.0,125,58.9,1.3,2
2017,16595.0,2,18110.0,20,60.1,1.4,1
2015,6291.0,0,8539.0,0,69.0,1.0,2
2018,24850.0,2,12508.0,145,57.6,2.0,1
2019,17498.0,1,11022.0,145,51.4,1.0,3
2019,15250.0,0,15302.0,145,49.6,1.0,1
2016,14298.0,0,27601.0,20,60.1,1.4,1
2018,16490.0,0,16761.0,150,55.4,1.5,1
2017,8702.0,0,15000.0,150,65.7,0.0,3
2017,7298.0,0,19581.0,145,60.1,1.0,4
2017,10995.0,2,41276.0,20,60.1,1.2,1
2019,20512.0,2,9114.0,145,50.4,1.5,0
2017,17490.0,0,35000.0,125,49.6,2.0,5
2019,17490.0,2,2708.0,145,45.6,1.5,6
2017,19680.0,2,15385.0,145,61.4,2.0,0
2020,23550.0,1,3000.0,135,58.9,1.8,2
2019,22490.0,1,1500.0,145,53.3,1.5,0
2019,28988.0,1,7893.0,145,58.9,2.0,0
2019,10490.0,0,4679.0,150,57.7,1.0,2
2018,18800.0,0,19156.0,150,56.5,2.0,6
2016,6995.0,0,50096.0,0,66.0,1.0,2
2016,18672.0,2,25458.0,145,55.4,3.0,0
2019,13130.0,0,151.0,145,48.7,1.1,3
2016,13995.0,0,13000.0,30,64.2,1.5,3
2014,6995.0,0,64021.0,145,53.3,1.7,4
2016,16295.0,1,81050.0,150,54.3,2.0,0
2017,11200.0,0,7678.0,145,65.7,1.0,3
2013,8795.0,0,48258.0,145,47.9,1.6,3
2014,5888.0,0,45091.0,30,55.4,1.0,3
2019,9800.0,0,691.0,145,49.6,1.0,4
2017,16995.0,2,23426.0,145,47.9,2.0,0
2017,8998.0,0,21198.0,30,58.0,1.3,2
2017,18495.0,0,19210.0,125,50.4,1.4,5
2017,6488.0,0,37224.0,150,69.0,1.0,2
2017,18950.0,1,23295.0,200,39.8,3.0,0
2016,10995.0,0,49018.0,30,61.7,1.7,4
2017,11200.0,0,5536.0,150,60.1,1.0,1
2019,23995.0,2,15134.0,145,39.8,1.5,1
2017,12698.0,0,15157.0,0,74.3,1.6,1
2009,5695.0,2,110931.0,160,51.4,2.0,0
2015,8632.0,0,15636.0,30,55.0,1.3,2
2018,14500.0,0,5089.0,145,58.9,1.0,3
2018,12998.0,0,15448.0,145,57.7,1.0,3
2019,26650.0,2,7902.0,145,65.7,2.0,0
2014,7058.0,0,36992.0,30,58.9,1.0,2
2017,17890.0,0,23610.0,145,40.9,1.4,6
2017,9130.0,0,29466.0,0,65.7,1.0,3
2017,10999.0,0,7873.0,145,65.7,1.0,3
2019,16495.0,1,11689.0,145,48.7,1.0,3
2014,14000.0,1,47600.0,145,56.5,2.0,5
2019,23999.0,0,4250.0,145,43.5,1.5,1
2017,9995.0,1,19595.0,145,45.6,1.4,4
2014,6950.0,0,41000.0,20,60.1,1.0,1
2017,9995.0,0,22073.0,20,58.9,1.0,1
2019,15998.0,0,3454.0,145,35.3,1.6,4
2016,12990.0,2,48788.0,0,74.3,2.0,0
2015,9500.0,0,14024.0,30,53.3,1.4,6
2018,9250.0,0,7973.0,150,57.7,1.2,3
2019,20185.0,2,1755.0,145,39.8,2.0,1
2017,11000.0,0,9066.0,0,65.7,1.0,3
2019,24676.0,2,14252.0,145,37.7,2.0,1
2013,7361.0,0,27413.0,0,65.7,1.0,3
2019,36497.0,1,1000.0,145,47.1,2.0,5
2019,16498.0,2,17708.0,150,51.4,1.6,6
2017,8980.0,0,13800.0,30,58.0,1.3,2
2016,15800.0,1,16319.0,30,64.2,2.0,0
2018,27450.0,2,12521.0,145,41.5,3.0,0
2016,8995.0,0,19995.0,30,55.4,1.0,3
2016,17000.0,1,40794.0,0,85.6,1.8,2
2015,17990.0,0,20984.0,145,47.1,2.0,1
2017,11350.0,0,41846.0,145,44.8,1.6,4
2016,5995.0,0,54182.0,0,69.0,1.0,2
2017,8790.0,0,18983.0,150,60.1,1.0,1
2016,7200.0,0,33625.0,0,78.5,1.5,3
2017,15998.0,2,6436.0,150,57.6,1.7,4
2018,10770.0,0,17202.0,145,65.7,1.0,3
2017,15000.0,0,24101.0,125,60.1,2.0,3
2017,10850.0,0,14698.0,0,65.7,1.0,3
2016,11989.0,1,25913.0,145,46.3,1.5,3
2016,11557.0,0,15087.0,125,60.1,2.0,3
2019,18191.0,0,50.0,145,48.7,1.0,1
2016,9990.0,2,29377.0,20,60.1,1.2,6
2019,13166.0,0,14708.0,145,52.3,1.0,1
2018,10992.0,0,14606.0,145,56.5,1.5,2
2018,6995.0,0,28300.0,145,64.2,1.0,6
2017,15280.0,1,14709.0,145,72.4,1.5,0
2017,9150.0,0,29336.0,20,68.9,1.5,3
2018,16689.0,1,12861.0,145,38.2,1.5,3
2019,19999.0,0,9000.0,145,40.3,1.5,3
2013,7888.0,0,77419.0,125,60.1,2.0,0
2017,13970.0,0,27034.0,150,48.7,1.5,0
2018,7995.0,0,14301.0,145,57.7,1.0,6
2017,10998.0,0,11779.0,145,60.1,1.2,1
2018,20600.0,1,32383.0,145,32.5,3.0,0
2018,20499.0,0,18482.0,145,41.5,2.0,3
2017,10181.0,0,37587.0,145,60.1,1.2,1
2014,9500.0,1,45165.0,20,67.3,1.6,1
2017,9495.0,0,22465.0,30,55.0,1.3,2
2017,20395.0,1,17300.0,200,39.8,2.0,6
2017,7601.0,0,12071.0,0,68.9,1.0,2
2013,14699.0,1,76597.0,200,47.9,3.0,5
2019,19393.0,1,2648.0,145,51.4,1.6,1
2019,15900.0,0,11540.0,145,48.7,1.0,3
2018,24297.0,2,13325.0,145,58.9,2.0,0
2019,29750.0,2,1869.0,150,38.2,1.5,5
2019,21491.0,0,6589.0,145,41.5,1.2,2
2016,12998.0,0,15589.0,30,53.3,1.4,1
2018,21700.0,1,20778.0,145,57.7,2.0,0
2018,13499.0,2,7595.0,145,57.7,1.5,6
2015,17999.0,2,21430.0,165,49.6,2.0,1
2017,6900.0,0,31534.0,145,57.7,1.2,4
2015,9950.0,0,51029.0,145,55.4,2.0,6
2017,16688.0,1,11782.0,0,72.4,1.8,2
2019,17370.0,0,1038.0,145,50.4,1.5,3
2013,10000.0,2,87457.0,145,56.5,2.0,0
2020,31000.0,2,1000.0,145,47.1,2.0,5
2019,22450.0,1,5000.0,145,39.8,1.5,1
2017,10800.0,0,22199.0,30,57.7,1.2,6
2020,32995.0,2,1501.0,145,36.2,2.0,0
2017,11000.0,0,23160.0,145,62.8,1.0,3
2016,21400.0,1,31084.0,145,54.3,2.0,0
2019,26495.0,1,6032.0,145,38.7,2.0,5
2016,6590.0,0,57090.0,20,70.6,1.6,3
2019,19500.0,2,2500.0,145,45.6,1.0,1
2017,20498.0,2,22271.0,0,134.5,2.0,0
2019,19999.0,1,3461.0,145,45.6,1.0,1
2011,3493.0,0,190000.0,20,68.9,2.0,0
2019,28990.0,2,4500.0,145,45.6,2.0,1
2016,10995.0,0,31058.0,20,67.3,1.6,6
2017,12000.0,1,12537.0,150,60.1,1.5,2
2019,15750.0,0,16417.0,145,51.4,1.0,3
2014,7885.0,0,58000.0,30,62.8,2.0,3
2019,9695.0,0,3000.0,145,57.7,1.0,6
2015,7498.0,0,45262.0,0,80.7,1.4,6
2016,9990.0,0,80000.0,30,61.7,1.7,4
2016,18272.0,0,20401.0,145,47.1,2.0,1
2020,22350.0,0,10.0,150,47.9,1.5,1
2017,12995.0,0,10888.0,150,54.3,1.4,1
2017,9699.0,0,23424.0,20,62.8,1.0,3
2016,10490.0,0,28495.0,30,55.4,1.4,6
2016,11689.0,2,44231.0,20,58.9,1.6,1
2019,25215.0,0,5473.0,145,37.7,2.0,1
2016,20000.0,2,46367.0,165,50.4,3.0,0
2019,23775.0,0,34.0,145,60.1,2.0,0
2016,11650.0,0,40263.0,30,53.3,1.4,1
2016,17998.0,0,9481.0,125,51.4,1.4,5
2015,19390.0,1,20031.0,200,40.4,2.0,1
2017,15500.0,0,53248.0,145,65.7,2.0,0
2017,11799.0,0,23792.0,30,54.3,1.0,3
2018,10700.0,0,22749.0,145,60.1,1.0,3
2016,32950.0,2,44914.0,240,42.8,3.0,0
2016,17430.0,1,55381.0,145,53.3,3.0,0
2014,6936.0,0,71250.0,0,74.3,1.5,3
2019,20850.0,0,84.0,145,49.6,1.6,5
2019,34000.0,1,5027.0,145,38.2,2.0,5
2017,9490.0,0,8000.0,145,54.3,1.0,3
2017,17700.0,0,12993.0,145,51.4,1.4,5
2018,20990.0,2,32978.0,145,47.9,1.8,5
2018,7195.0,0,7394.0,150,64.2,1.0,6
2017,6999.0,0,26749.0,20,58.8,1.0,6
2012,10295.0,0,66000.0,30,60.1,2.0,5
2020,28500.0,2,2000.0,145,52.3,2.0,1
